treatment,mom_id,egg_no,diameter_a_mm,diameter_d_mm,area_mm2
C,C1,1,0.11848,0.11577,0.01126
C,C1,2,0.11748,0.11989,0.01134
C,C1,3,0.11239,0.114,0.01039
C,C1,4,0.11603,0.12438,0.01116
C,C1,5,0.11834,0.11755,0.01054
C,C1,6,0.12862,0.12174,0.01212
C,C1,7,0.12133,0.11647,0.0115
C,C1,8,0.1147,0.11877,0.01033
C,C1,9,0.11813,0.11695,0.01108
C,C1,10,0.12199,0.12624,0.01185
C,C1,11,0.12168,0.11716,0.01146
C,C1,12,0.12,0.1261,0.01145
C,C1,13,0.11802,0.11863,0.01102
C,C1,14,0.12002,0.12632,0.0116
C,C1,15,0.11901,0.11763,0.01072
C,C1,16,0.12763,0.1211,0.01231
C,C1,17,0.11902,0.11969,0.01147
C,C1,18,0.11836,0.11979,0.01144
C,C1,19,0.11241,0.11507,0.0106
C,C1,20,0.11271,0.11502,0.01021
C,C1,21,0.07939,0.08198,0.00511
C,C1,22,0.122,0.11784,0.01126
C,C1,23,0.12001,0.1266,0.01168
C,C1,24,0.11868,0.11589,0.01066
C,C1,25,0.12066,0.12571,0.01151
C,C1,26,0.11802,0.11891,0.01102
C,C1,27,0.11936,0.11751,0.01139
C,C1,28,0.12299,0.1183,0.01105
C,C1,29,0.11374,0.10972,0.01016
C,C1,30,0.11639,0.11604,0.01118
C,C1,31,0.11934,0.12047,0.01112
C,C2,1,0.12166,0.11938,0.01122
C,C2,2,0.11006,0.1153,0.00989
C,C2,3,0.10741,0.11337,0.00969
C,C2,4,0.11605,0.11888,0.01081
C,C2,5,0.1147,0.11503,0.01054
C,C2,6,0.11503,0.11359,0.01054
C,C2,7,0.11304,0.11083,0.00981
C,C2,8,0.11205,0.11898,0.01057
C,C2,9,0.11868,0.11784,0.01091
C,C2,10,0.11105,0.11627,0.01036
C,C2,11,0.1104,0.11088,0.00985
C,C2,12,0.11934,0.11769,0.01085
C,C2,13,0.10973,0.10907,0.00947
C,C2,14,0.11238,0.11677,0.00995
C,C2,15,0.1094,0.11781,0.01015
C,C2,16,0.11205,0.11091,0.00964
C,C2,17,0.11105,0.11373,0.00988
C,C2,18,0.11105,0.11301,0.00985
C,C2,19,0.11403,0.11258,0.0099
C,C2,20,0.11173,0.11151,0.00989
C,C2,21,0.11205,0.1119,0.00984
C,C2,22,0.11868,0.1178,0.01098
C,C2,23,0.11304,0.11877,0.01051
C,C2,24,0.11934,0.11777,0.01067
C,C2,25,0.11536,0.11814,0.01044
C,C2,26,0.11138,0.11251,0.00992
C,C2,27,0.11536,0.1143,0.01048
C,C2,28,0.12101,0.11887,0.01131
C,C2,29,0.11338,0.1143,0.01031
C,C2,30,0.11341,0.10799,0.01027
C,C3,1,0.12233,0.11312,0.01101
C,C3,2,0.11438,0.11736,0.01003
C,C3,3,0.11935,0.12265,0.01121
C,C3,4,0.11768,0.10938,0.00992
C,C3,5,0.11602,0.11571,0.01048
